proof	cbmc_time_s	wall_s	status
proof_v16_active_bitmap_set_get_count_is_exact_and_bounds_checked	0.23401268	4	PASS
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	1.3689219	4	PASS
proof_v16_asset_recovery_transition_freezes_price_and_bumps_once	0.48984918	3	PASS
proof_v16_asset_recovery_transition_is_idempotent_after_recovery	0.16142005	3	PASS
proof_v16_available_source_support_excludes_liened_and_encumbered_amounts	0.50522274	3	PASS
proof_v16_backing_domain_fee_split_for_lien_delta_is_exact_and_conservative	20.84759	24	PASS
proof_v16_backing_provider_earnings_credit_requires_vault_slack	1.6886542	4	PASS
proof_v16_backing_provider_earnings_withdraw_cannot_exceed_earnings	2.1551967	5	PASS
proof_v16_backing_utilization_collection_cap_charge_conserves_senior_value	97.186745	101	PASS
proof_v16_backing_utilization_collection_first_touch_initializes_cursor_without_value_move	27.084263	31	PASS
proof_v16_backing_utilization_collection_full_charge_conserves_senior_value	101.92349	106	PASS
proof_v16_backing_utilization_collection_negative_pnl_never_draws_capital	80.83952	84	PASS
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	2.0000365	5	PASS
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	0.27041	3	PASS
proof_v16_backing_utilization_fee_quote_atoms_is_exact_floor_and_time_bounded	34.721935	38	PASS
proof_v16_backing_utilization_rate_above_kink_matches_exact_schedule	21.185993	24	PASS
proof_v16_backing_utilization_rate_below_kink_matches_exact_schedule	38.752666	41	PASS
proof_v16_backing_utilization_rate_zero_and_invalid_source_branches_are_exact	4.848068	7	PASS
proof_v16_bankruptcy_hlock_selects_hmax_before_source_backed_value_exit	49.3971	54	PASS
proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	35.6617	39	PASS
proof_v16_batch_outcome_accumulator_is_exact_and_overflow_checked	0.42473796	3	PASS
proof_v16_canonical_retired_asset_slot_preserves_identity_and_clears_local_ledgers	3.0229135	6	PASS
proof_v16_capital_backed_loss_reservation_is_value_neutral_and_capital_capped	170.96089	176	PASS
proof_v16_claim_resolved_payout_topup_preflight_rejects_unready	127.09855	132	PASS
proof_v16_close_begin_rejects_account_with_active_close	52.955246	58	PASS
proof_v16_close_begin_rejects_occupied_domain_before_mutation	45.305088	50	PASS
proof_v16_close_begin_takes_barrier_and_stamps_immutable_identity	63.198795	68	PASS
proof_v16_close_cancel_shape_rejects_dropped_residual	32.074345	37	PASS
proof_v16_close_progress_ledger_residual_equation_is_enforced	123.1367	128	PASS
proof_v16_counterparty_backing_add_delta_refills_or_rejects_by_bucket_state	0.51171947	3	PASS
proof_v16_counterparty_backing_withdraw_cannot_underback_claims	63.51021	66	PASS
proof_v16_counterparty_backing_withdraw_delta_debits_only_unliened_backing	20.541527	24	PASS
proof_v16_counterparty_backing_withdraw_delta_status_transitions_are_exact	0.6010122	3	PASS
proof_v16_counterparty_credit_consumption_reports_atoms_not_scaled_backing	22.447512	26	PASS
proof_v16_counterparty_lien_consume_delta_is_receivable_exact_and_fail_closed	1.9844309	5	PASS
proof_v16_counterparty_lien_create_delta_is_expiry_gated_and_exact	0.34368628	4	PASS
proof_v16_counterparty_source_credit_support_does_not_debit_vault_or_insurance	1.7812874	5	PASS
proof_v16_counterparty_source_credit_support_is_prebacked_by_realized_capital	2.7139812	5	PASS
proof_v16_credit_account_from_insurance_is_value_neutral_and_pool_isolated	1.4824563	5	PASS
proof_v16_credit_account_from_insurance_uses_only_unbudgeted_surplus	1.8882196	4	PASS
proof_v16_cross_account_source_support_sum_capped_by_shared_backing	92.590065	95	PASS
proof_v16_cure_and_cancel_close_rejects_without_active_close	72.188805	81	PASS
proof_v16_domain_insurance_budget_delta_cannot_overallocate_pooled_insurance	1.9072549	5	PASS
proof_v16_domain_insurance_deposit_updates_o1_remaining_total	181.90614	187	PASS
proof_v16_domain_insurance_spent_delta_cannot_create_unbacked_budget	2.0966876	5	PASS
proof_v16_domain_insurance_withdraw_delta_is_budget_scoped_and_value_conserving	13.852461	16	PASS
proof_v16_duplicate_asset_legs_reject_before_double_counting_support	145.5358	150	PASS
proof_v16_dynamic_market_account_len_fails_closed_on_arithmetic_overflow	0.07487953	2	PASS
proof_v16_dynamic_market_account_len_roundtrips_capacity_and_offsets	38.02237	41	PASS
proof_v16_dynamic_market_extension_slots_must_be_zero_fill	8.37082	12	PASS
proof_v16_dynamic_market_slot_slice_len_matches_runtime_capacity	0.04734768	3	PASS
proof_v16_equity_active_accrual_requires_protective_progress_before_mutation	58.42459	63	PASS
proof_v16_equity_active_accrual_with_progress_commits_one_bounded_segment	71.88176	76	PASS
proof_v16_expired_backing_yields_zero_realizable_support_after_expiry	497.2253	502	PASS
proof_v16_expired_close_progress_declares_recovery_without_value_mutation	81.193344	86	PASS
proof_v16_expired_counterparty_backing_bucket_accepts_receivable_refill	0.32752025	3	PASS
proof_v16_fee_core_moves_current_capital_to_insurance_only	31.369505	35	PASS
proof_v16_final_batch_margin_gate_accepts_only_final_certified_im	6.0862317	9	PASS
proof_v16_final_impaired_source_claim_burn_clears_account_occupancy_counters	11.288578	15	PASS
proof_v16_frame_backing_deposit_touches_only_declared_state	345.32184	350	PASS
proof_v16_frame_backing_withdraw_touches_only_declared_state	225.93138	231	PASS
proof_v16_frame_budget_credit_touches_only_declared_state	84.568756	90	PASS
proof_v16_frame_crank_touches_only_clock_and_cert_state	179.42697	190	PASS
proof_v16_frame_deposit_touches_only_declared_state	255.95601	262	PASS
proof_v16_frame_domain_insurance_deposit_touches_only_declared_state	102.19263	107	PASS
proof_v16_frame_domain_insurance_withdraw_touches_only_declared_state	105.819626	111	PASS
proof_v16_frame_earnings_withdraw_touches_only_declared_state	108.653305	113	PASS
proof_v16_frame_fee_charge_touches_only_declared_state	74.61777	80	PASS
proof_v16_frame_insurance_account_credit_touches_only_declared_state	256.37378	262	PASS
proof_v16_frame_mark_drain_only_touches_only_declared_state	103.11677	108	PASS
proof_v16_frame_oracle_target_update_touches_only_declared_state	103.450226	108	PASS
proof_v16_frame_overwithdraw_err_leaves_state_unchanged	224.61548	231	PASS
proof_v16_frame_resolve_market_touches_only_declared_state	72.548134	78	PASS
proof_v16_frame_side_reset_touches_only_declared_state	54.871983	59	PASS
proof_v16_frame_withdraw_touches_only_declared_state	278.20258	285	PASS
proof_v16_funding_rate_cap_rejects_before_accrual_mutation	55.17063	60	PASS
proof_v16_global_hlock_lane_selects_hmax_only_for_global_stress_or_candidate	7.5691786	12	PASS
proof_v16_grant_source_positive_pnl_rejects_non_live	510.36517	516	PASS
proof_v16_health_cert_capital_debit_preserves_im_or_rejects	1.1808577	4	PASS
proof_v16_in_place_account_init_clears_hidden_risk_state_and_validates	42.302128	47	PASS
proof_v16_inductive_fee_core_preserves_senior_solvency_and_never_debits_insurance	21.32315	25	PASS
proof_v16_inductive_settle_negative_pnl_preserves_senior_solvency	22.617987	27	PASS
proof_v16_insolvent_resolved_receipt_clears_at_terminal_rate	212.03247	218	PASS
proof_v16_insurance_domain_mapping_is_in_bounds_unique_and_roundtrips	11.966081	15	PASS
proof_v16_insurance_lien_consume_delta_is_aligned_and_atom_exact	0.77512413	3	PASS
proof_v16_insurance_lien_consume_spends_only_its_domain_budget	150.01324	154	PASS
proof_v16_insurance_lien_fractional_consume_rejects	1.0148678	3	PASS
proof_v16_insurance_lien_split_consume_spends_exact_reserved_atoms	31.341688	35	PASS
proof_v16_insurance_lien_terminal_release_delta_handles_mixed_and_rejects_invalid	0.83414274	4	PASS
proof_v16_liquidation_cannot_leave_uncovered_loss_with_other_open_risk	0.7460492	3	PASS
proof_v16_liquidation_preflight_accepts_only_fully_durable_residual	223.04915	228	PASS
proof_v16_liquidation_preflight_routes_insufficient_residual_capacity_to_recovery	184.41728	189	PASS
proof_v16_live_market_shape_rejects_long_short_oi_mismatch	74.681366	80	PASS
proof_v16_live_positive_kf_delta_without_source_rejects	64.57691	71	PASS
proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	28.291943	33	PASS
proof_v16_locked_trade_margin_gate_cannot_use_positive_pnl_credit	8.23601	11	PASS
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	53.575245	61	PASS
proof_v16_loss_stale_trade_scope_allows_only_unrelated_current_assets	0.023991296	2	PASS
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	189.02113	193	PASS
proof_v16_mutable_view_compacts_persisted_source_domain_tail	48.22433	52	PASS
proof_v16_negative_pnl_settlement_consumes_principal_before_residual	37.553738	42	PASS
proof_v16_new_unfunded_domain_cannot_consume_shared_insurance	60.63892	66	PASS
proof_v16_nonflat_withdraw_rejects_before_value_exit	314.5923	321	PASS
proof_v16_nontrivial_public_profile_satisfies_symbolic_mm_envelope	16.385828	19	PASS
proof_v16_open_source_claim_exposure_blocks_convert	168.45596	173	PASS
proof_v16_pending_domain_loss_barrier_allows_only_same_side_reductions	0.42252094	3	PASS
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	22.307455	26	PASS
proof_v16_permissionless_recovery_crank_is_accounting_neutral	131.60475	142	PASS
proof_v16_position_delta_risk_classifier_matches_abs_exposure_change	0.4854733	3	PASS
proof_v16_positive_kf_delta_creates_source_claim_bound	209.26909	216	PASS
proof_v16_positive_pnl_requires_full_source_claim_attribution	1.17822	4	PASS
proof_v16_price_move_cap_rejects_before_accrual_mutation	59.913353	64	PASS
proof_v16_public_account_backing_fee_split_preserves_senior_stock	430.42554	437	PASS
proof_v16_public_backing_fee_charges_only_selected_domain	354.3811	360	PASS
proof_v16_public_backing_provider_earnings_credit_uses_only_vault_slack	150.85338	156	PASS
proof_v16_public_backing_provider_earnings_withdraw_debits_only_earned_vault	308.98077	314	PASS
proof_v16_public_backing_provider_earnings_withdraw_is_earnings_scoped_and_pool_neutral	287.80154	292	PASS
proof_v16_public_counterparty_backing_deposit_moves_vault_and_scaled_source_state	358.88474	364	PASS
proof_v16_public_counterparty_backing_deposit_refills_expired_receivable_bucket	401.21674	406	PASS
proof_v16_public_counterparty_backing_expiry_is_value_neutral_and_impairs_liened_backing	537.6846	543	PASS
proof_v16_public_counterparty_backing_withdraw_debits_vault_and_scaled_source_state	353.98853	359	PASS
proof_v16_public_counterparty_backing_withdraw_rejects_underbacking_source_claims	332.62552	338	PASS
proof_v16_public_counterparty_lien_consume_creates_receivable_without_value_movement	375.08615	380	PASS
proof_v16_public_counterparty_lien_create_moves_fresh_to_valid_without_value_movement	199.95161	205	PASS
proof_v16_public_counterparty_lien_impair_moves_valid_to_impaired_without_value_movement	232.67708	237	PASS
proof_v16_public_counterparty_lien_release_restores_unliened_backing_without_value_movement	407.01688	412	PASS
proof_v16_public_credit_domain_insurance_budget_is_value_neutral_and_backed	141.67772	147	PASS
proof_v16_public_domain_insurance_spent_setter_preserves_budget_total_and_value	160.62416	165	PASS
proof_v16_public_domain_insurance_spent_setter_rejects_invalid_without_mutation	137.34558	142	PASS
proof_v16_public_domain_insurance_withdraw_capacity_matches_budget_reserved_and_vault_min	16.38016	21	PASS
proof_v16_public_domain_insurance_withdraw_is_budget_scoped_and_value_conserving	176.6082	181	PASS
proof_v16_public_finalize_side_reset_rejects_each_blocker_without_mutation	20.064602	24	PASS
proof_v16_public_finalize_side_reset_success_is_value_neutral	25.342796	30	PASS
proof_v16_public_insurance_lien_consume_debits_only_domain_insurance	425.6577	430	PASS
proof_v16_public_insurance_lien_create_moves_reserved_credit_to_valid_lien	275.88583	280	PASS
proof_v16_public_insurance_lien_impair_moves_valid_to_impaired_without_value_movement	395.60748	401	PASS
proof_v16_public_insurance_lien_release_restores_reserved_credit_without_value_movement	371.07156	376	PASS
proof_v16_public_insurance_reserve_encumbers_budget_without_value_movement	292.2154	297	PASS
proof_v16_public_insurance_reserve_rejects_unfunded_domain	185.18307	190	PASS
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	74.54157	79	PASS
proof_v16_public_market_capacity_growth_is_monotone_and_value_neutral	6.1568465	9	PASS
proof_v16_public_market_capacity_growth_rejects_invalid_requests_without_mutation	5.734197	10	PASS
proof_v16_public_materialized_portfolio_deregister_is_value_neutral	56.665714	62	PASS
proof_v16_public_materialized_portfolio_deregister_rejects_value_state_before_mutation	42.05316	47	PASS
proof_v16_public_materialized_portfolio_register_is_value_neutral	56.70502	62	PASS
proof_v16_public_materialized_portfolio_register_rejects_value_state_before_mutation	42.015812	47	PASS
proof_v16_public_permissionless_empty_market_crank_advances_clock_without_value_movement	136.48244	147	PASS
proof_v16_public_raw_oracle_target_update_is_value_neutral	145.80745	151	PASS
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	177.31815	182	PASS
proof_v16_public_resolved_bound_refinement_is_monotone_and_value_neutral	59.55149	63	PASS
proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault	577.1584	586	PASS
proof_v16_public_resolved_payout_topup_pays_min_claimable_and_vault	178.20361	183	PASS
proof_v16_public_restart_asset_zero_preserves_only_selected_slot_in_two_slot_view	93.95204	99	PASS
proof_v16_public_restart_empty_asset_zero_preserves_budgets_and_senior_value	46.686367	51	PASS
proof_v16_public_restart_nonzero_asset_preserves_only_selected_slot_in_two_slot_view	93.7226	98	PASS
proof_v16_public_restart_rejects_spent_domain_before_mutation	40.07645	45	PASS
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	292.00687	300	PASS
proof_v16_recovery_mode_blocks_withdraw	146.67744	153	PASS
proof_v16_reserved_domain_insurance_cannot_be_double_spent_by_bankruptcy	215.45422	221	PASS
proof_v16_reset_empty_asset_oracle_anchor_is_value_neutral_and_idle_gated	54.849922	59	PASS
proof_v16_reset_empty_asset_oracle_anchor_rejects_when_pnl_present	17.556137	22	PASS
proof_v16_residual_excludes_recoverable_counterparty_backing_principal	737.683	742	PASS
proof_v16_residual_excludes_senior_backing_provider_earnings	118.91775	123	PASS
proof_v16_residual_reconciles_with_senior_stock	199.9772	205	PASS
proof_v16_residual_reward_credit_is_capped_by_principal_and_crystallized_loss	9.564456	13	PASS
proof_v16_resolved_external_payout_requires_exact_capital_plus_claim_sources	2.7514148	5	PASS
proof_v16_resolved_receipt_claimable_is_rate_monotone_and_overpaid_fails_closed	9.670975	13	PASS
proof_v16_resolved_receipt_payment_cannot_exceed_terminal_claim	3.5121357	7	PASS
proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	50.58187	55	PASS
proof_v16_resolved_winddown_releases_expired_liened_source_claim	0.16311139	3	PASS
proof_v16_resolved_winddown_releases_impaired_insurance_lien	0.6682139	3	PASS
proof_v16_resolved_winddown_releases_liened_source_claim	0.15763508	3	PASS
proof_v16_restart_empty_asset_core_preserves_budgets_and_assigns_fresh_market	9.6201725	13	PASS
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	304.574	309	PASS
proof_v16_retire_nonempty_asset_rejects	158.97647	164	PASS
proof_v16_retired_slot_reactivation_accepts_only_empty_source_credit_amounts	33.3144	38	PASS
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	200.7528	206	PASS
proof_v16_seq_budget_credit_then_withdraw_caps_compose	280.90076	286	PASS
proof_v16_seq_deposit_withdraw_round_trip_is_exact	429.41458	435	PASS
proof_v16_seq_double_crank_is_monotone_and_value_flat	248.45561	259	PASS
proof_v16_seq_two_fees_compound_exactly	106.29678	112	PASS
proof_v16_signed_trade_request_maps_to_opposite_account_deltas	0.29237694	3	PASS
proof_v16_source_credit_lien_face_and_backing_use_scaled_units	165.95125	169	PASS
proof_v16_source_credit_rate_never_exceeds_available_backing_ratio	55.191025	58	PASS
proof_v16_source_domain_insert_reuses_same_domain_market_id_tag	26.890162	31	PASS
proof_v16_sparse_source_domain_cap_full_rejects_new_domain	21.86613	26	PASS
proof_v16_sparse_source_domain_insert_roundtrips_occupied_domain	34.817513	38	PASS
proof_v16_sparse_source_domain_validation_accepts_domain_indexed_claim	81.347496	85	PASS
proof_v16_sparse_source_domain_validation_rejects_duplicate_occupied_domain	282.46652	287	PASS
proof_v16_sparse_source_domain_validation_rejects_unoccupied_tagged_slot	18.753021	24	PASS
proof_v16_support_to_account_capital_requires_exact_mixed_source_sum	2.740556	5	PASS
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	13.339824	16	PASS
proof_v16_symbolic_funding_profile_satisfies_mm_envelope_on_small_notionals	10.093617	13	PASS
proof_v16_target_effective_lag_adverse_delta_is_side_specific	0.12907091	3	PASS
proof_v16_target_effective_lag_penalty_enters_all_health_lanes	1.6831642	4	PASS
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	50.02851	54	PASS
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	51.418404	56	PASS
proof_v16_trade_preflight_risk_gate_blocks_only_unsafe_risk_increase	0.77262753	3	PASS
proof_v16_two_resolved_receipts_are_order_independent_when_snapshot_funded	142.20494	145	PASS
proof_v16_underbacked_source_credit_cannot_satisfy_im_lien_requirements	56.74354	60	PASS
proof_v16_unliened_source_support_is_capped_by_realizable_backing	209.0653	214	PASS
proof_v16_validate_shape_rejects_global_junior_bound_below_domain_claims	31.554129	36	PASS
proof_v16_view_deposit_preserves_c_tot_vault_capital_sum	313.59134	319	PASS
proof_v16_view_domain_budget_caps_bankruptcy_insurance_spend	147.97067	154	PASS
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	262.81848	271	PASS
proof_v16_view_initial_margin_source_lien_creation_is_backed	0.9039251	3	PASS
proof_v16_view_negative_funding_pays_long_side	68.29579	72	PASS
proof_v16_view_overwithdraw_rejects	289.57773	296	PASS
proof_v16_view_positive_funding_charges_long_side	90.68605	95	PASS
proof_v16_view_trade_position_delta_preserves_oi_symmetry	0.93589586	4	PASS
proof_v16_view_withdraw_reduces_vault_ctot_and_capital_equally	340.32742	346	PASS
proof_v16_withdraw_allowed_after_canceled_close	318.67923	324	PASS
proof_v16_withdraw_rejects_while_close_active	60.801746	66	PASS
proof_v16_withdraw_settles_flat_negative_pnl_before_value_exit	400.77402	407	PASS
proof_v16_wrapper_shape_distinct_asset_batch_projection_preserves_oi_and_outcome	2.29657	5	PASS
