proof	cbmc_time_s	wall_s	status
proof_v16_backing_domain_fee_split_for_lien_delta_is_exact_and_conservative	20.81502	24	PASS
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	2.0022826	5	PASS
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	0.27412653	3	PASS
proof_v16_backing_utilization_fee_quote_atoms_is_exact_floor_and_time_bounded	35.001846	39	PASS
proof_v16_batch_outcome_accumulator_is_exact_and_overflow_checked	0.5620403	3	PASS
proof_v16_canonical_retired_asset_slot_preserves_identity_and_clears_local_ledgers	3.0363657	6	PASS
proof_v16_duplicate_asset_legs_reject_before_double_counting_support	142.45924	148	PASS
proof_v16_fee_core_moves_current_capital_to_insurance_only	31.152693	35	PASS
proof_v16_final_batch_margin_gate_accepts_only_final_certified_im	6.0827904	9	PASS
proof_v16_final_impaired_source_claim_burn_clears_account_occupancy_counters	11.516209	14	PASS
proof_v16_frame_fee_charge_touches_only_declared_state	75.23432	81	PASS
proof_v16_frame_mark_drain_only_touches_only_declared_state	103.23141	108	PASS
proof_v16_frame_side_reset_touches_only_declared_state	54.529488	59	PASS
proof_v16_in_place_account_init_clears_hidden_risk_state_and_validates	42.42027	47	PASS
proof_v16_inductive_fee_core_preserves_senior_solvency_and_never_debits_insurance	20.596132	24	PASS
proof_v16_insolvent_resolved_receipt_clears_at_terminal_rate	217.39706	223	PASS
proof_v16_locked_trade_margin_gate_cannot_use_positive_pnl_credit	8.2227	11	PASS
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	55.309406	62	PASS
proof_v16_loss_stale_trade_scope_allows_only_unrelated_current_assets	0.024086038	3	PASS
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	189.13623	194	PASS
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	22.603249	27	PASS
proof_v16_position_delta_risk_classifier_matches_abs_exposure_change	0.4890026	3	PASS
proof_v16_public_account_backing_fee_split_preserves_senior_stock	420.1162	426	PASS
proof_v16_public_backing_fee_charges_only_selected_domain	353.20496	359	PASS
proof_v16_public_finalize_side_reset_rejects_each_blocker_without_mutation	20.181767	24	PASS
proof_v16_public_finalize_side_reset_success_is_value_neutral	25.49579	29	PASS
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	75.59235	80	PASS
proof_v16_public_resolve_market_is_value_neutral_and_clears_loss_stale	174.74344	179	PASS
proof_v16_public_restart_asset_zero_preserves_only_selected_slot_in_two_slot_view	93.93015	99	PASS
proof_v16_public_restart_empty_asset_zero_preserves_budgets_and_senior_value	46.386913	51	PASS
proof_v16_public_restart_nonzero_asset_preserves_only_selected_slot_in_two_slot_view	97.82217	103	PASS
proof_v16_public_restart_rejects_spent_domain_before_mutation	40.972786	46	PASS
proof_v16_recovery_mode_blocks_fee_sync_and_pnl_conversion_before_mutation	291.2797	299	PASS
proof_v16_restart_empty_asset_core_preserves_budgets_and_assigns_fresh_market	9.56795	13	PASS
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	304.7428	310	PASS
proof_v16_retire_nonempty_asset_rejects	159.6709	165	PASS
proof_v16_retired_slot_reactivation_accepts_only_empty_source_credit_amounts	33.398827	37	PASS
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	206.47614	212	PASS
proof_v16_seq_two_fees_compound_exactly	105.3506	110	PASS
proof_v16_signed_trade_request_maps_to_opposite_account_deltas	0.2942889	3	PASS
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	13.119431	16	PASS
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	50.571575	54	PASS
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	49.226173	53	PASS
proof_v16_trade_preflight_risk_gate_blocks_only_unsafe_risk_increase	0.7719825	4	PASS
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	258.2533	266	PASS
proof_v16_view_trade_position_delta_preserves_oi_symmetry	0.9473195	4	PASS
proof_v16_wrapper_shape_distinct_asset_batch_projection_preserves_oi_and_outcome	2.7665844	6	PASS
